Machine_ID,Machine_type,Year,Month,Day,Failures,Downtime_min,Operating_min,MTBF_min,MTTR_min,Availability_pct
Machine_01,Metal detector,2010,January,1,1,27.9,402.6,402.6,27.9,93.07
Machine_01,Metal detector,2010,January,2,0,0.0,402.6,,,100.0
Machine_01,Metal detector,2010,January,3,0,2.0,402.6,,,99.5
Machine_01,Metal detector,2010,January,4,4,104.7,402.6,100.7,26.2,73.99
Machine_01,Metal detector,2010,January,5,0,2.1,402.6,,,99.48
Machine_01,Metal detector,2010,January,6,0,0.1,402.6,,,99.98
Machine_01,Metal detector,2010,January,7,2,52.8,402.6,201.3,26.4,86.89
Machine_01,Metal detector,2010,January,8,2,52.7,402.6,201.3,26.4,86.91
Machine_01,Metal detector,2010,January,9,1,26.1,402.6,402.6,26.1,93.52
Machine_01,Metal detector,2010,January,10,1,28.7,402.6,402.6,28.7,92.87
Machine_01,Metal detector,2010,January,11,0,0.0,402.6,,,100.0
Machine_01,Metal detector,2010,January,12,0,4.1,402.6,,,98.98
Machine_01,Metal detector,2010,January,13,2,54.2,402.6,201.3,27.1,86.54
Machine_01,Metal detector,2010,January,14,1,27.7,402.6,402.6,27.7,93.12
Machine_01,Metal detector,2010,January,15,2,52.0,402.6,201.3,26.0,87.08
Machine_01,Metal detector,2010,January,16,2,54.8,402.6,201.3,27.4,86.39
Machine_01,Metal detector,2010,January,17,0,0.0,402.6,,,100.0
Machine_01,Metal detector,2010,January,18,1,27.6,402.6,402.6,27.6,93.14
Machine_01,Metal detector,2010,January,19,0,2.2,402.6,,,99.45
Machine_01,Metal detector,2010,January,20,1,26.2,402.6,402.6,26.2,93.49
Machine_01,Metal detector,2010,January,21,2,52.6,402.6,201.3,26.3,86.93
Machine_01,Metal detector,2010,January,22,1,27.2,402.6,402.6,27.2,93.24
Machine_01,Metal detector,2010,January,23,1,29.0,402.6,402.6,29.0,92.8
Machine_01,Metal detector,2010,January,24,1,24.5,402.6,402.6,24.5,93.91
Machine_01,Metal detector,2010,January,25,1,25.1,402.6,402.6,25.1,93.77
Machine_01,Metal detector,2010,January,26,2,51.4,402.6,201.3,25.7,87.23
Machine_01,Metal detector,2010,January,27,1,25.2,402.6,402.6,25.2,93.74
Machine_01,Metal detector,2010,January,28,2,54.8,402.6,201.3,27.4,86.39
Machine_01,Metal detector,2010,January,29,2,50.6,402.6,201.3,25.3,87.43
Machine_01,Metal detector,2010,January,30,0,0.0,402.6,,,100.0
Machine_01,Metal detector,2010,January,31,1,26.0,402.6,402.6,26.0,93.54
Machine_01,Metal detector,2010,February,1,0,1.0,411.4,,,99.76
